Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-575.3477062991745,nan,0
100,-100.0,-575.3477062991745,95.19999,99
200,-100.0,-575.3477062991745,-192.47627,199
300,-100.0,-575.3477062991745,-6272.038,299
400,-100.0,-575.3477062991745,-28037.732,399
500,-100.0,-121.17753913471924,-161678.81,499
600,-100.0,-121.17753913471924,-398117.53,599
700,-100.0,-121.17753913471924,-199945.31,699
800,-100.0,-121.17753913471924,-476282.1,799
900,-100.0,-121.17753913471924,-820309.94,899
1000,-100.0,-130.9119179572493,-415056.38,999
1100,-100.0,-130.9119179572493,-1025762.4,1099
1200,-100.0,-130.9119179572493,-1612660.8,1199
1300,-100.0,-130.9119179572493,-692045.5,1299
1400,-100.0,-130.9119179572493,-1385423.5,1399
1500,-100.0,-870.5526944189726,-2096300.1,1499
1600,-100.0,-870.5526944189726,-898954.5,1599
1700,-100.0,-870.5526944189726,-1690166.1,1699
1800,-100.0,-870.5526944189726,-2542112.8,1799
1900,-100.0,-870.5526944189726,-1371421.0,1899
2000,-100.0,-609.692197769304,-2987939.0,1999
2100,-100.0,-609.692197769304,-4842297.5,2099
2200,-100.0,-609.692197769304,-2310662.5,2199
2300,-100.0,-609.692197769304,-4072228.2,2299
2400,-100.0,-609.692197769304,-5668711.0,2399
